    x	        Bx	    Bxperc	        By	    Byperc	     Bprod	    Bprodp	      Bmax	     Bmaxp
 -800	    0.0028	   -6.1303	    0.0512	    0.3038	    0.0512	    0.4556	    0.0512	    0.4556
 -795	    0.0029	   -4.3495	    0.0518	   -0.3865	    0.0519	   -0.2338	    0.0519	   -0.2338
 -790	    0.0029	   -2.5233	    0.0525	    0.8757	    0.0525	   -0.8740	    0.0525	   -0.8740
 -785	    0.0030	   -0.6504	    0.0531	    0.2344	    0.0532	    0.3920	    0.0532	    0.3920
 -780	    0.0030	    1.2708	    0.0538	   -0.3593	    0.0539	   -0.2006	    0.0539	   -0.2006
 -775	    0.0031	    3.2419	    0.0545	   -0.9074	    0.0546	   -0.7475	    0.0546	   -0.7475
 -770	    0.0032	    5.2644	    0.0552	    0.3807	    0.0553	    0.5448	    0.0553	    0.5448
 -765	    0.0032	    7.3401	    0.0559	   -0.1218	    0.0560	    0.0436	    0.0560	    0.0436
 -760	    0.0033	    9.4708	    0.0567	   -0.5817	    0.0568	   -0.4149	    0.0568	   -0.4149
 -755	    0.0033	   11.6581	    0.0574	    0.7363	    0.0575	   -0.8322	    0.0575	   -0.8322
 -750	    0.0034	   13.9042	    0.0582	    0.3207	    0.0583	    0.4935	    0.0583	    0.4935
 -745	    0.0035	   16.2108	    0.0590	   -0.0547	    0.0591	    0.1198	    0.0591	    0.1198
 -740	    0.0036	  -11.0649	    0.0598	   -0.3912	    0.0599	   -0.2149	    0.0599	   -0.2149
 -735	    0.0036	   -9.2392	    0.0606	   -0.6899	    0.0607	   -0.5118	    0.0607	   -0.5118
 -730	    0.0037	   -7.3633	    0.0614	    0.6717	    0.0615	   -0.7719	    0.0615	   -0.7719
 -725	    0.0038	   -5.4353	    0.0623	    0.4153	    0.0624	    0.6005	    0.0624	    0.6005
 -720	    0.0039	   -3.4534	    0.0631	    0.1951	    0.0632	    0.3824	    0.0632	    0.3824
 -715	    0.0039	   -1.4159	    0.0640	    0.0101	    0.0641	    0.1998	    0.0641	    0.1998
 -710	    0.0040	    0.6795	    0.0649	   -0.1404	    0.0650	    0.0516	    0.0650	    0.0516
 -705	    0.0041	    2.8346	    0.0658	   -0.2573	    0.0660	   -0.0628	    0.0660	   -0.0628
 -700	    0.0042	    5.0516	    0.0668	   -0.3412	    0.0669	   -0.1441	    0.0669	   -0.1441
 -695	    0.0043	    7.3329	    0.0677	   -0.3929	    0.0679	   -0.1930	    0.0679	   -0.1930
 -690	    0.0044	    9.6806	    0.0687	   -0.4127	    0.0689	   -0.2099	    0.0689	   -0.2099
 -685	    0.0045	   12.0973	    0.0697	   -0.4012	    0.0699	   -0.1954	    0.0699	   -0.1954
 -680	    0.0046	   -8.3316	    0.0707	   -0.3589	    0.0709	   -0.1500	    0.0709	   -0.1500
 -675	    0.0047	   -6.2817	    0.0718	   -0.2861	    0.0719	   -0.0739	    0.0719	   -0.0739
 -670	    0.0048	   -4.1703	    0.0729	   -0.1831	    0.0730	    0.0325	    0.0730	    0.0325
 -665	    0.0049	   -1.9950	    0.0740	   -0.0502	    0.0741	    0.1689	    0.0741	    0.1689
 -660	    0.0050	    0.2467	    0.0751	    0.1123	    0.0753	    0.3351	    0.0753	    0.3351
 -655	    0.0051	    2.5572	    0.0762	    0.3043	    0.0764	    0.5310	    0.0764	    0.5310
 -650	    0.0052	    4.9393	    0.0774	    0.5258	    0.0776	   -0.5353	    0.0776	   -0.5353
 -645	    0.0054	    7.3957	    0.0786	   -0.4992	    0.0788	   -0.2673	    0.0788	   -0.2673
 -640	    0.0055	    9.9293	    0.0798	   -0.2068	    0.0800	    0.0295	    0.0800	    0.0295
 -635	    0.0056	   -6.2140	    0.0811	    0.1142	    0.0813	    0.3550	    0.0813	    0.3550
 -630	    0.0058	   -3.9662	    0.0824	    0.4639	    0.0826	   -0.5040	    0.0826	   -0.5040
 -625	    0.0059	   -1.6459	    0.0837	   -0.3581	    0.0839	   -0.1108	    0.0839	   -0.1108
 -620	    0.0060	    0.7497	    0.0850	    0.0586	    0.0853	    0.3111	    0.0853	    0.3111
 -615	    0.0062	    3.2236	    0.0864	    0.5040	    0.0867	   -0.3965	    0.0867	   -0.3965
 -610	    0.0063	    5.7792	    0.0879	   -0.1693	    0.0881	    0.0909	    0.0881	    0.0909
 -605	    0.0065	   -7.0687	    0.0893	    0.3412	    0.0895	   -0.5108	    0.0895	   -0.5108
 -600	    0.0067	   -4.7293	    0.0908	   -0.2278	    0.0910	    0.0410	    0.0910	    0.0410
 -595	    0.0068	   -2.3108	    0.0923	    0.3469	    0.0926	   -0.4601	    0.0926	   -0.4601
 -590	    0.0070	    0.1902	    0.0939	   -0.1230	    0.0941	    0.1553	    0.0941	    0.1553
 -585	    0.0072	    2.7773	    0.0955	    0.5155	    0.0958	   -0.2496	    0.0958	   -0.2496
 -580	    0.0074	    5.4542	    0.0971	    0.1408	    0.0974	    0.4295	    0.0974	    0.4295
 -575	    0.0076	   -5.3032	    0.0988	   -0.1754	    0.0991	    0.1174	    0.0991	    0.1174
 -570	    0.0078	   -2.7933	    0.1006	   -0.4352	    0.1009	   -0.1379	    0.1009	   -0.1379
 -565	    0.0080	   -0.1938	    0.1023	    0.3339	    0.1027	   -0.3383	    0.1027	   -0.3383
 -560	    0.0082	    2.4991	    0.1042	    0.1619	    0.1045	    0.4717	    0.1045	    0.4717
 -555	    0.0084	    5.2897	    0.1060	    0.0428	    0.1064	    0.3579	    0.1064	    0.3579
 -550	    0.0087	   -3.8378	    0.1080	   -0.0244	    0.1083	    0.2962	    0.1083	    0.2962
 -545	    0.0089	   -1.1714	    0.1100	   -0.0411	    0.1103	    0.2854	    0.1103	    0.2854
 -540	    0.0091	    1.5944	    0.1120	   -0.0081	    0.1124	    0.3246	    0.1124	    0.3246
 -535	    0.0094	    4.4644	    0.1141	    0.0737	    0.1145	    0.4130	    0.1145	    0.4130
 -530	    0.0097	   -3.3009	    0.1162	    0.2037	    0.1166	   -0.3095	    0.1166	   -0.3095
